num_maquina;num_jobs;modelo;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_linear_nonzeros;status;time;fl_inteiro
15;20;t_pre_carnaval006M015J020_ZintFalse_Manne;6000;3151;;979,0;1841;False;;1840;17700;optimal;0,03982210159301758;False
15;20;t_pre_carnaval006M015J020_ZintFalse_MinLA;18000;3151;;1106,4980710952977;2100;False;;29;52800;optimal;0,23482108116149902;False
15;20;t_pre_carnaval007M015J020_ZintTrue_Manne;6000;3151;1089,9999999999982;1508,9999999999998;1685;True;0,27766732935717287;90624206;17700;time limit exceeded;3600,0122010707855;True
15;20;t_pre_carnaval007M015J020_ZintTrue_MinLA;18000;3151;1083,2899016874342;1513,999999999;1754;True;0,2844848733895785;44395417;52800;time limit exceeded;3600,012211084366;True
15;20;t_pre_carnaval007M015J020_ZintFalse_Manne;6000;3151;;900,0;2003;False;;2002;17700;optimal;0,04467606544494629;False
15;20;t_pre_carnaval007M015J020_ZintFalse_MinLA;18000;3151;;1027,4873672272472;2016;False;;8735;52800;optimal;0,25644779205322266;False
15;20;t_pre_carnaval008M015J020_ZintTrue_Manne;6000;3151;1066,944063241397;1379,9999998394032;1737;True;0,22685212799595303;123405865;17700;time limit exceeded;3601,0162451267242;True
15;20;t_pre_carnaval008M015J020_ZintTrue_MinLA;18000;3151;1138,9999999999995;1456,0000000000005;1607;True;0,21771978021976582;28428400;52800;time limit exceeded;3600,0599660873413;True
15;20;t_pre_carnaval008M015J020_ZintFalse_Manne;6000;3151;;920,0;1937;False;;1936;17700;optimal;0,03793191909790039;False
15;20;t_pre_carnaval008M015J020_ZintFalse_MinLA;18000;3151;;1026,77767520189;2038;False;;30;52800;optimal;0,2954840660095215;False
15;20;t_pre_carnaval009M015J020_ZintTrue_Manne;6000;3151;1074,6320091782654;1423,000000000001;1625;True;0,24481236178616356;81105474;17700;time limit exceeded;3600,0198690891266;True
15;20;t_pre_carnaval009M015J020_ZintTrue_MinLA;18000;3151;1088,6024745726615;1490,0;1637;True;0,26939431236732314;36457969;52800;time limit exceeded;3600,019165992737;True
15;20;t_pre_carnaval009M015J020_ZintFalse_Manne;6000;3151;;928,0;1839;False;;1838;17700;optimal;0,036930084228515625;False
15;20;t_pre_carnaval009M015J020_ZintFalse_MinLA;18000;3151;;1026,9079265126536;2128;False;;29;52800;optimal;0,2774050235748291;False
20;20;t_pre_carnaval000M020J020_ZintTrue_Manne;8000;4201;1367,7073598792285;1618,9999998295016;2148;True;0,15521472512459628;59845864;23600;time limit exceeded;3600,012841939926;True
20;20;t_pre_carnaval000M020J020_ZintTrue_MinLA;24000;4201;1307,4230143161346;1658,0;2199;True;0,21144570909761412;16278078;70400;time limit exceeded;3601,7832958698273;True
20;20;t_pre_carnaval000M020J020_ZintFalse_Manne;8000;4201;;1217,0;2182;False;;2181;23600;optimal;0,058899879455566406;False
20;20;t_pre_carnaval000M020J020_ZintFalse_MinLA;24000;4201;;1218,973885005354;2593;False;;29;70400;optimal;0,4052591323852539;False
20;20;t_pre_carnaval001M020J020_ZintTrue_Manne;8000;4201;1346,8723404255293;1644,0;2250;True;0,1807345861158471;47901869;23600;time limit exceeded;3600,0148179531097;True
20;20;t_pre_carnaval001M020J020_ZintTrue_MinLA;24000;4201;1326,5303030303028;1648,0;2250;True;0,1950665636951928;20322483;70400;time limit exceeded;3600,023563861847;True
20;20;t_pre_carnaval001M020J020_ZintFalse_Manne;8000;4201;;1223,0;2520;False;;2519;23600;optimal;0,0655069351196289;False
20;20;t_pre_carnaval001M020J020_ZintFalse_MinLA;24000;4201;;1223,0;2589;False;;21;70400;optimal;0,27845311164855957;False
20;20;t_pre_carnaval002M020J020_ZintTrue_Manne;8000;4201;1343,3636363636365;1630,0;2193;True;0,17585052983824903;53526669;23600;time limit exceeded;3600,014433145523;True
20;20;t_pre_carnaval002M020J020_ZintTrue_MinLA;24000;4201;1302,7768128834925;1656,0;2281;True;0,21329902603652542;30291001;70400;time limit exceeded;3600,017429113388;True
20;20;t_pre_carnaval002M020J020_ZintFalse_Manne;8000;4201;;1164,0;2459;False;;2458;23600;optimal;0,06678485870361328;False
20;20;t_pre_carnaval002M020J020_ZintFalse_MinLA;24000;4201;;1212,620530308664;2446;False;;9480;70400;optimal;0,29367589950561523;False
20;20;t_pre_carnaval003M020J020_ZintTrue_Manne;8000;4201;1320,581337340186;1689,0;2158;True;0,21812827866180703;64689764;23600;time limit exceeded;3600,0143790245056;True
20;20;t_pre_carnaval003M020J020_ZintTrue_MinLA;24000;4201;1320,0;1714,0;2252;True;0,22987164527419895;21045072;70400;time limit exceeded;3600,0149080753326;True
20;20;t_pre_carnaval003M020J020_ZintFalse_Manne;8000;4201;;1151,0;2431;False;;2430;23600;optimal;0,06295084953308105;False
20;20;t_pre_carnaval003M020J020_ZintFalse_MinLA;24000;4201;;1216,4730986398881;2694;False;;32;70400;optimal;0,35080814361572266;False
20;20;t_pre_carnaval004M020J020_ZintTrue_Manne;8000;4201;1343,0;1707,9999999999998;2156;True;0,21370023419202486;54252682;23600;time limit exceeded;3600,013195037842;True
20;20;t_pre_carnaval004M020J020_ZintTrue_MinLA;24000;4201;1414,2789491854335;1725,0000000000005;2157;True;0,18012814539973848;26742765;70400;time limit exceeded;3600,017441034317;True
20;20;t_pre_carnaval004M020J020_ZintFalse_Manne;8000;4201;;1170,0;2411;False;;2410;23600;optimal;0,06697607040405273;False
20;20;t_pre_carnaval004M020J020_ZintFalse_MinLA;24000;4201;;1298,271807472989;2383;False;;8885;70400;optimal;0,29142189025878906;False
20;20;t_pre_carnaval005M020J020_ZintTrue_Manne;8000;4201;1354,2666666666655;1654,000000000002;2211;True;0,18121725110841477;61984776;23600;time limit exceeded;3600,019408226013;True
20;20;t_pre_carnaval005M020J020_ZintTrue_MinLA;24000;4201;1416,0;1712,9999999959996;2276;True;0,17338003502432914;22299212;70400;time limit exceeded;3600,0170760154724;True
20;20;t_pre_carnaval005M020J020_ZintFalse_Manne;8000;4201;;1207,0;2517;False;;2516;23600;optimal;0,06602096557617188;False
20;20;t_pre_carnaval005M020J020_ZintFalse_MinLA;24000;4201;;1276,4427523632903;2414;False;;8899;70400;optimal;0,2753880023956299;False
20;20;t_pre_carnaval006M020J020_ZintTrue_Manne;8000;4201;1424,9093586117897;1740,0000000000002;2220;True;0,1810865755104554;58043509;23600;time limit exceeded;3600,108122110367;True
20;20;t_pre_carnaval006M020J020_ZintTrue_MinLA;24000;4201;1426,1192046029328;1734,999999996;2205;True;0,17802927688401243;25064360;70400;time limit exceeded;3600,015835046768;True
20;20;t_pre_carnaval006M020J020_ZintFalse_Manne;8000;4201;;1291,0;2417;False;;2416;23600;optimal;0,06526708602905273;False
20;20;t_pre_carnaval006M020J020_ZintFalse_MinLA;24000;4201;;1291,0;2451;False;;9563;70400;optimal;0,28583288192749023;False
20;20;t_pre_carnaval007M020J020_ZintTrue_Manne;8000;4201;1408,8448889279407;1631,9999999990002;2244;True;0,13673720041126383;52194988;23600;time limit exceeded;3600,0167899131775;True
